timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-12 21:51:19.744,0,0,0,0,5.6,1.5
2025-02-12 21:51:21.749,225808384,0,2146,1989,1.9,1.5
2025-02-12 21:51:23.754,70713344,0,1484,1248,1.6,1.6
2025-02-12 21:51:25.759,41226240,282624,1430,1490,1.5,1.6
2025-02-12 21:51:27.764,16379904,159744,3376,3568,1.5,1.6
2025-02-12 21:51:29.769,1175552,294912,4672,4960,1.4,1.6
2025-02-12 21:51:31.774,8192,192512,1304,1444,1.6,1.6
2025-02-12 21:51:33.779,35127296,122880,2840,3054,5.6,1.6
2025-02-12 21:51:35.783,17829888,299008,1966,4150,1.9,1.6
2025-02-12 21:51:37.788,2088960,8192,2442,9992,9.7,1.6
2025-02-12 21:51:39.793,1175552,192512,1562,1382,2.3,1.6
2025-02-12 21:51:41.798,5324800,299008,2494988,93128,1.5,1.7
2025-02-12 21:51:43.804,46313472,32768,120106,129756,2.7,1.8
2025-02-12 21:51:45.808,27287552,475136,104716,106668,3.2,1.8
2025-02-12 21:51:47.813,466944,0,1754,2442,3.3,1.8
2025-02-12 21:51:49.818,0,73728,2008,1248,3.1,1.8
2025-02-12 21:51:51.823,413696,679936,4598,13718,3.2,1.8
2025-02-12 21:51:53.828,159744,0,8338,7525,3.2,1.8
2025-02-12 21:51:55.832,131072,290816,1364,1248,3.2,1.8
2025-02-12 21:51:57.837,0,0,2485,1741,3.2,1.8
2025-02-12 21:51:59.843,0,86016,1424,1248,3.2,1.8
2025-02-12 21:52:01.848,0,184320,1544,1248,3.2,1.8
2025-02-12 21:52:03.854,106496,0,1364,1248,3.2,1.8
2025-02-12 21:52:05.859,0,81920,6253,6200,3.2,2.2
2025-02-12 21:52:07.864,4096,196608,1364,1248,3.3,2.8
2025-02-12 21:52:09.869,0,73728,2020,1382,3.3,3.5
2025-02-12 21:52:11.874,0,176128,1424,1248,3.2,4.1
2025-02-12 21:52:13.879,0,0,1304,1248,3.3,4.8
2025-02-12 21:52:15.884,0,86016,1364,1248,3.2,5.4
2025-02-12 21:52:17.889,4096,217088,1304,1248,3.2,6.1
2025-02-12 21:52:19.894,0,102400,1476,1248,3.2,6.7
2025-02-12 21:52:21.899,0,0,1824,1494,3.2,7.4
2025-02-12 21:52:23.904,0,0,1364,1248,3.2,8.0
2025-02-12 21:52:25.909,0,155648,1576,1388,3.2,8.1
2025-02-12 21:52:27.914,0,319488,1484,1248,3.2,8.1
2025-02-12 21:52:29.919,0,94208,1484,1248,3.7,2.7
2025-02-12 21:52:31.928,1093632,200704,1628,2232,8.0,3.0
2025-02-12 21:52:33.936,0,0,1816,1388,8.2,3.9
2025-02-12 21:52:35.942,0,180224,1364,1248,9.0,4.7
2025-02-12 21:52:37.948,0,290816,1424,1248,9.2,5.5
2025-02-12 21:52:39.953,0,77824,1442,1382,8.5,6.5
2025-02-12 21:52:41.958,4096,507904,3602,4574,1.4,6.5
2025-02-12 21:52:43.963,0,0,2086,1852,1.4,6.5
2025-02-12 21:52:45.968,0,610304,4170,4700,1.4,6.5
2025-02-12 21:52:47.973,8192,278528,3250,3378,3.2,6.5
2025-02-12 21:52:49.978,1683456,176128,2736,6810,5.8,6.5
2025-02-12 21:52:51.984,8192,212992,2743,2483,6.0,6.4
2025-02-12 21:52:53.989,0,0,1570,1388,5.8,6.4
2025-02-12 21:52:55.994,1302528,39585914880,2551,1741,1.9,6.4
