timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-11 11:43:00.708,28672,0,0,0,4.4,1.5
2025-02-11 11:43:02.713,225878016,0,240,0,1.9,1.5
2025-02-11 11:43:04.719,70979584,0,240,0,1.7,1.5
2025-02-11 11:43:06.725,48140288,430080,1118,890,1.5,1.5
2025-02-11 11:43:08.731,9990144,184320,2664,2320,1.5,1.5
2025-02-11 11:43:10.737,1196032,294912,3368,3712,1.4,1.5
2025-02-11 11:43:12.742,4096,172032,240,196,1.6,1.5
2025-02-11 11:43:14.747,40284160,114688,1596,1806,5.6,1.5
2025-02-11 11:43:16.752,12562432,421888,60,0,1.8,1.5
2025-02-11 11:43:18.758,2093056,8192,120,0,9.3,1.6
2025-02-11 11:43:20.763,1171456,176128,180,0,2.9,1.6
2025-02-11 11:43:22.768,5640192,294912,2496100,51558,1.7,1.7
2025-02-11 11:43:24.773,61317120,32768,150984,150504,2.9,1.8
2025-02-11 11:43:26.778,12279808,712704,62024,61552,3.3,1.8
2025-02-11 11:43:28.783,0,0,360,60,3.2,1.8
2025-02-11 11:43:30.789,413696,86016,360,0,3.3,1.8
2025-02-11 11:43:32.795,0,196608,180,0,3.3,1.8
2025-02-11 11:43:34.801,0,0,240,0,3.3,1.8
2025-02-11 11:43:36.807,4096,315392,180,0,3.2,1.8
2025-02-11 11:43:38.813,0,0,518,0,3.2,2.2
2025-02-11 11:43:40.818,0,69632,300,0,3.2,2.9
2025-02-11 11:43:42.823,0,188416,180,0,3.2,3.5
2025-02-11 11:43:44.828,0,0,360,0,3.3,4.1
2025-02-11 11:43:46.835,4096,135168,180,0,3.2,4.8
2025-02-11 11:43:48.842,0,180224,120,0,3.2,5.4
2025-02-11 11:43:50.848,0,69632,240,0,3.2,5.9
2025-02-11 11:43:52.854,0,184320,180,0,3.2,5.7
2025-02-11 11:43:54.859,565248,0,120,0,14.8,2.3
2025-02-11 11:43:56.865,0,151552,292,0,16.5,3.3
2025-02-11 11:43:58.872,0,192512,180,0,16.3,4.3
2025-02-11 11:44:00.877,0,81920,180,0,16.4,5.2
2025-02-11 11:44:02.883,0,184320,180,0,16.0,6.3
2025-02-11 11:44:04.889,0,0,1054,0,15.8,7.3
2025-02-11 11:44:06.895,0,131072,300,0,16.4,8.3
2025-02-11 11:44:08.901,0,184320,240,0,15.7,9.2
2025-02-11 11:44:10.909,0,90112,240,0,14.8,10.1
2025-02-11 11:44:12.914,417792,188416,120,0,11.6,11.2
2025-02-11 11:44:14.919,0,0,180,0,10.8,12.2
2025-02-11 11:44:16.924,0,151552,120,0,11.2,13.0
2025-02-11 11:44:18.929,4096,188416,934,0,11.2,13.9
2025-02-11 11:44:20.935,0,94208,360,0,11.1,14.8
2025-02-11 11:44:22.941,0,184320,180,0,10.9,15.6
2025-02-11 11:44:24.946,0,0,420,0,10.8,16.6
2025-02-11 11:44:26.952,0,159744,412,0,10.9,17.4
2025-02-11 11:44:28.957,0,176128,360,0,10.7,18.2
