timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-09 23:36:45.308,32768,0,0,0,6.3,1.5
2025-02-09 23:36:47.312,225533952,0,240,0,1.8,1.5
2025-02-09 23:36:49.318,71081984,0,240,0,1.8,1.6
2025-02-09 23:36:51.322,55734272,557056,306,242,1.5,1.6
2025-02-09 23:36:53.328,2416640,180224,2192,2320,1.5,1.6
2025-02-09 23:36:55.333,2830336,565248,3420,3712,1.5,1.6
2025-02-09 23:36:57.338,0,0,180,196,1.7,1.5
2025-02-09 23:36:59.343,47407104,114688,1716,1806,5.7,1.6
2025-02-09 23:37:01.347,5406720,376832,510,2826,1.9,1.6
2025-02-09 23:37:03.353,2445312,8192,994,8790,3.3,1.6
2025-02-09 23:37:05.357,1171456,180224,432,484,3.2,1.6
2025-02-09 23:37:07.362,6983680,372736,2500664,96396,2.0,1.7
2025-02-09 23:37:09.367,61251584,32768,187438,199342,3.0,1.8
2025-02-09 23:37:11.372,12275712,700416,25138,25644,3.3,1.8
2025-02-09 23:37:13.377,0,0,180,0,3.2,1.9
2025-02-09 23:37:15.382,413696,90112,3867,13616,3.2,2.5
2025-02-09 23:37:17.387,0,212992,638,0,3.2,3.2
2025-02-09 23:37:19.393,0,0,240,0,3.3,3.8
2025-02-09 23:37:21.398,0,253952,180,0,3.2,4.4
2025-02-09 23:37:23.404,0,0,180,0,3.3,5.1
2025-02-09 23:37:25.410,0,73728,412,0,3.3,5.7
2025-02-09 23:37:27.416,0,204800,60,0,3.2,5.8
2025-02-09 23:37:29.422,0,0,60,0,7.3,2.0
2025-02-09 23:37:31.427,565248,270336,636,1484,15.9,2.9
2025-02-09 23:37:33.432,0,0,423,0,16.3,3.9
2025-02-09 23:37:35.438,0,81920,180,0,16.4,4.9
2025-02-09 23:37:37.443,0,196608,300,0,16.4,5.9
2025-02-09 23:37:39.448,0,0,120,0,16.6,6.9
2025-02-09 23:37:41.454,0,290816,180,0,16.1,7.8
2025-02-09 23:37:43.459,0,0,180,0,16.2,8.8
2025-02-09 23:37:45.465,0,90112,326,86,16.5,9.7
2025-02-09 23:37:47.471,417792,200704,576,1484,11.6,10.6
2025-02-09 23:37:49.479,0,0,198,86,10.5,11.5
2025-02-09 23:37:51.485,0,65536,120,0,10.9,12.4
2025-02-09 23:37:53.492,0,217088,240,0,11.6,13.3
2025-02-09 23:37:55.497,0,73728,472,0,10.9,14.1
2025-02-09 23:37:57.502,0,184320,180,0,10.9,14.9
2025-02-09 23:37:59.507,0,0,180,0,12.6,15.7
2025-02-09 23:38:01.512,0,57344,240,0,10.6,16.6
2025-02-09 23:38:03.518,0,188416,120,0,10.9,17.3
2025-02-09 23:38:05.524,0,49152,180,0,11.1,18.2
