timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-09 23:58:36.604,180224,0,0,0,5.5,1.5
2025-02-09 23:58:38.610,224612352,0,2312,1850,1.9,1.5
2025-02-09 23:58:40.615,72351744,0,1424,1248,1.7,1.6
2025-02-09 23:58:42.620,52080640,380928,1490,1490,1.5,1.6
2025-02-09 23:58:44.624,5603328,167936,3436,3568,1.4,1.6
2025-02-09 23:58:46.629,2719744,479232,4552,4960,1.4,1.6
2025-02-09 23:58:48.634,0,0,1364,1444,1.7,1.6
2025-02-09 23:58:50.639,46891008,122880,2840,3054,5.7,1.6
2025-02-09 23:58:52.645,5967872,446464,1634,4010,1.9,1.6
2025-02-09 23:58:54.650,2207744,8192,2542,9844,3.8,1.6
2025-02-09 23:58:56.655,1175552,184320,1430,1490,3.1,1.6
2025-02-09 23:58:58.660,19161088,303104,2507949,106825,2.0,1.7
2025-02-09 23:59:00.666,57069568,32768,207081,214589,3.0,1.8
2025-02-09 23:59:02.671,3452928,708608,1934,2442,3.3,1.8
2025-02-09 23:59:04.677,1871872,0,1664,1248,3.1,1.8
2025-02-09 23:59:06.683,413696,106496,4949,13572,3.2,2.4
2025-02-09 23:59:08.689,0,552960,1604,1248,3.3,3.0
2025-02-09 23:59:10.695,0,0,1484,1248,3.3,3.7
2025-02-09 23:59:12.701,0,90112,1484,1248,3.3,4.3
2025-02-09 23:59:14.707,0,204800,1760,1248,3.3,4.9
2025-02-09 23:59:16.713,0,57344,1304,1248,3.2,5.6
2025-02-09 23:59:18.719,0,208896,1484,1248,3.3,5.8
2025-02-09 23:59:20.724,0,0,1544,1248,3.3,2.5
2025-02-09 23:59:22.729,831488,69632,1688,2232,9.0,2.8
2025-02-09 23:59:24.736,0,208896,1716,1248,9.5,3.6
2025-02-09 23:59:26.741,0,90112,1610,2130,3.2,4.1
2025-02-09 23:59:28.747,0,118784,1544,1248,5.8,4.1
2025-02-09 23:59:30.752,1789952,15648059392,3596,9172,7.5,4.0
2025-02-09 23:59:32.756,77824,41880150016,1484,1248,8.2,4.0
2025-02-09 23:59:34.762,57344,31405469696,1484,1248,6.4,4.0
2025-02-09 23:59:36.768,65536,38103220224,1667,1248,6.9,4.0
2025-02-09 23:59:38.774,73728,43765350400,1824,1494,9.0,4.0
2025-02-09 23:59:40.779,57344,33575165952,1304,1248,6.9,4.0
2025-02-09 23:59:42.785,40960,36512378880,1942,1248,7.2,4.0
2025-02-09 23:59:44.790,81920,44964216832,1484,1248,8.7,4.0
2025-02-09 23:59:46.795,49152,33953636352,1364,1248,6.5,4.0
2025-02-09 23:59:48.801,1572929536,32753156096,1502,1990,2.2,4.0
2025-02-09 23:59:50.806,57127813120,57370144768,1622,1990,2.0,4.0
2025-02-09 23:59:52.811,58639220736,57904660480,1244,1248,2.0,4.0
2025-02-09 23:59:54.817,56129392640,55546974208,1596,1248,2.0,3.9
2025-02-09 23:59:56.823,51228377088,52449665024,1424,1248,1.9,3.9
2025-02-09 23:59:58.829,53354291200,53644361728,1704,1494,2.0,3.9
2025-02-10 00:00:00.834,53201805312,51879759872,1364,1248,2.1,3.8
2025-02-10 00:00:02.839,20579860480,22327324672,1820,2796,3.2,8.5
2025-02-10 00:00:04.845,0,819200,2210,1248,3.2,9.7
2025-02-10 00:00:06.851,0,98304,1544,1248,3.3,10.9
2025-02-10 00:00:08.856,0,81920,1304,1248,3.2,12.1
2025-02-10 00:00:10.862,0,221184,1484,1248,3.2,13.3
2025-02-10 00:00:12.867,0,0,1364,1248,2.3,14.3
2025-02-10 00:00:14.872,0,94208,1604,1248,0.9,14.3
2025-02-10 00:00:16.878,0,8749056,1870,1334,3.4,10.4
2025-02-10 00:00:18.884,0,73728,1364,1248,3.3,10.4
2025-02-10 00:00:20.890,0,196608,4428,24208,3.2,10.4
2025-02-10 00:00:22.895,39407616,0,36662,41664,2.9,10.5
2025-02-10 00:00:24.900,34000896,282624,1656,1248,3.3,10.5
2025-02-10 00:00:26.905,0,421888,1424,1248,3.1,10.5
2025-02-10 00:00:28.911,16154624,25790873600,2282,4810,3.4,10.5
2025-02-10 00:00:30.916,98304,43878031360,1544,1248,3.5,10.5
2025-02-10 00:00:32.921,221184,45895688192,1607,1248,3.5,10.5
2025-02-10 00:00:34.926,81920,43816796160,1664,1248,3.4,10.5
2025-02-10 00:00:36.931,344064,44972843008,1484,1248,3.4,10.5
2025-02-10 00:00:38.936,90112,44954828800,1824,1494,3.3,10.5
2025-02-10 00:00:40.942,106496,44880973824,1304,1248,3.5,10.5
2025-02-10 00:00:42.947,106496,44100755456,1364,1248,5.6,10.6
2025-02-10 00:00:44.952,15064567808,35496480768,19346,22094,14.5,10.5
2025-02-10 00:00:46.958,30615461888,45249937408,1942,1248,16.4,10.6
2025-02-10 00:00:48.963,32710795264,48110985216,1484,1248,15.4,10.6
2025-02-10 00:00:50.968,33584496640,46912225280,1424,1248,14.7,10.6
2025-02-10 00:00:52.974,29291339776,48085303296,1364,1248,15.9,10.8
2025-02-10 00:00:54.979,28456648704,43079311360,1656,1248,16.5,10.7
2025-02-10 00:00:56.985,32590196736,47181094912,1364,1248,14.4,10.7
2025-02-10 00:00:58.991,32590176256,43243229184,1764,1494,13.1,10.8
2025-02-10 00:01:00.996,26096558080,47420145664,1424,1248,15.6,10.8
2025-02-10 00:01:03.003,33410547712,46097219584,2264,1248,14.5,10.7
2025-02-10 00:01:05.009,31786983424,47012671488,1424,1248,14.5,10.7
2025-02-10 00:01:07.016,26848288768,45193662464,1544,1248,14.5,10.7
2025-02-10 00:01:09.022,29286834176,43901612032,1364,1248,15.9,10.7
2025-02-10 00:01:11.027,33817583616,47786360832,1364,1248,14.2,10.7
2025-02-10 00:01:13.036,34020478976,46951981056,1607,1248,13.8,10.7
2025-02-10 00:01:15.042,29729644544,48960098304,1604,1248,16.1,10.8
2025-02-10 00:01:17.047,31449317376,47434125312,1364,1248,16.0,10.8
2025-02-10 00:01:19.053,33160642560,48885526528,1364,1248,13.1,10.8
2025-02-10 00:01:21.060,30891507712,44294373376,1364,1248,16.2,10.8
2025-02-10 00:01:23.066,31673319424,50448187392,1484,1248,15.1,10.8
2025-02-10 00:01:25.071,29918756864,43927453696,1536,1248,13.5,10.7
