timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-12 20:08:19.231,139264,0,0,0,5.8,1.5
2025-02-12 20:08:21.237,226136064,0,2446,1989,1.8,1.5
2025-02-12 20:08:23.243,70139904,0,1364,1248,1.7,1.5
2025-02-12 20:08:25.248,50978816,417792,1430,1490,1.5,1.5
2025-02-12 20:08:27.253,6758400,159744,3556,3568,1.5,1.5
2025-02-12 20:08:29.258,1245184,495616,4732,4960,1.4,1.5
2025-02-12 20:08:31.264,0,0,1304,1444,1.8,1.5
2025-02-12 20:08:33.269,43716608,106496,2840,3054,5.7,1.5
2025-02-12 20:08:35.274,9154560,421888,1634,4010,1.9,1.6
2025-02-12 20:08:37.279,2093056,8192,2256,9862,6.6,1.6
2025-02-12 20:08:39.283,1175552,184320,1424,1248,2.8,1.6
2025-02-12 20:08:41.288,5337088,446464,2500750,93842,1.9,1.7
2025-02-12 20:08:43.293,61804544,32768,153316,164780,2.6,1.8
2025-02-12 20:08:45.299,11943936,696320,63244,62956,3.3,1.8
2025-02-12 20:08:47.304,466944,0,1634,2442,3.2,1.8
2025-02-12 20:08:49.309,0,73728,1424,1248,3.1,1.8
2025-02-12 20:08:51.315,413696,196608,4658,13718,3.2,1.8
2025-02-12 20:08:53.320,0,0,1424,1248,3.2,1.8
2025-02-12 20:08:55.325,0,311296,1424,1248,3.2,1.8
2025-02-12 20:08:57.331,0,0,1364,1248,3.2,1.8
2025-02-12 20:08:59.337,0,81920,1424,1248,3.2,1.8
2025-02-12 20:09:01.342,8192,188416,1510,1334,3.2,1.8
2025-02-12 20:09:03.347,106496,0,1604,1248,3.2,1.8
2025-02-12 20:09:05.353,0,290816,1442,1334,3.3,2.3
2025-02-12 20:09:07.359,0,0,1604,1248,3.3,2.9
2025-02-12 20:09:09.364,0,81920,1604,1248,3.2,3.6
2025-02-12 20:09:11.369,0,184320,1724,1248,3.3,4.3
2025-02-12 20:09:13.374,0,0,1604,1248,3.2,4.9
