timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-15 19:49:25.212,36864,0,0,0,3.2,34.2
2025-02-15 19:49:27.217,221810688,0,240,0,2.0,34.3
2025-02-15 19:49:29.223,74432512,0,420,0,1.9,34.3
2025-02-15 19:49:31.229,27234304,458752,546,242,1.6,34.3
2025-02-15 19:49:33.235,31031296,200704,2708,2576,1.5,34.3
2025-02-15 19:49:35.240,1277952,704512,3428,3712,1.5,34.3
2025-02-15 19:49:37.245,0,0,558,282,1.6,34.3
2025-02-15 19:49:39.250,24088576,98304,1716,1866,1.7,34.3
2025-02-15 19:49:41.255,28725248,114688,378,2166,1.8,34.3
2025-02-15 19:49:43.260,704512,8192,450,938,16.0,34.3
2025-02-15 19:49:45.265,1839104,131072,450,8018,2.1,34.4
2025-02-15 19:49:47.270,6254592,65536,2489606,89244,1.8,34.4
2025-02-15 19:49:49.275,46436352,12288,73490,81992,2.6,34.4
2025-02-15 19:49:51.280,27942912,331776,154142,159248,3.2,34.5
2025-02-15 19:49:53.285,0,0,60,0,3.3,34.5
2025-02-15 19:49:55.290,413696,20480,2782,9954,3.3,34.6
2025-02-15 19:49:57.296,0,0,840,2372,3.3,35.0
2025-02-15 19:49:59.301,0,0,240,0,3.3,35.4
2025-02-15 19:50:01.306,0,40960,180,0,19.2,34.8
2025-02-15 19:50:03.314,671744,0,1100,2216,22.2,35.4
2025-02-15 19:50:05.320,569344,20480,1794,1842,22.8,36.0
2025-02-15 19:50:07.326,0,593920,1738,3386,21.3,36.6
2025-02-15 19:50:09.333,417792,0,1886,3484,15.0,37.3
2025-02-15 19:50:11.338,0,659456,1278,780,15.8,38.0
2025-02-15 19:50:13.343,0,0,3512,2860,15.0,38.6
2025-02-15 19:50:15.348,0,36864,1404,1944,13.5,39.1
2025-02-15 19:50:17.354,0,61440,804,648,15.2,39.7
2025-02-15 19:50:19.359,0,0,390,794,3.2,40.9
2025-02-15 19:50:21.365,0,36864,504,680,2.9,41.6
2025-02-15 19:50:23.371,0,0,684,664,4.6,40.7
2025-02-15 19:50:25.376,1466368,20480,34336,34480,6.8,40.8
2025-02-15 19:50:27.381,68108288,0,1022,648,3.2,40.8
2025-02-15 19:50:29.386,16228352,0,504,632,3.3,40.8
2025-02-15 19:50:31.392,0,225280,564,648,3.3,40.8
2025-02-15 19:50:33.397,0,0,504,648,3.3,40.7
2025-02-15 19:50:35.402,0,16384,990,778,3.3,40.7
2025-02-15 19:50:37.411,6774784,618496,17396,17264,71.1,41.7
2025-02-15 19:50:39.418,0,0,630,810,72.5,43.3
2025-02-15 19:50:41.425,0,53248,762,1038,71.4,45.0
2025-02-15 19:50:43.435,0,8192,564,858,11.2,46.0
2025-02-15 19:50:45.441,929792,28672,504,648,3.2,46.0
2025-02-15 19:50:47.446,0,454656,627,648,3.2,46.0
2025-02-15 19:50:49.451,0,0,444,648,3.3,46.0
2025-02-15 19:50:51.456,0,28672,564,648,11.5,46.0
2025-02-15 19:50:53.470,0,53248,504,778,60.8,46.0
2025-02-15 19:50:55.476,0,40960,786,1034,3.2,46.0
2025-02-15 19:50:57.481,1048576,0,324,648,3.3,46.0
2025-02-15 19:50:59.487,0,0,444,648,3.3,46.0
2025-02-15 19:51:01.493,0,20480,564,708,3.3,45.9
2025-02-15 19:51:03.510,0,0,504,648,28.8,45.9
2025-02-15 19:51:05.519,0,20480,258,648,58.0,45.9
2025-02-15 19:51:07.525,741376,598016,919,486,3.3,45.8
2025-02-15 19:51:09.531,0,0,504,648,3.3,45.9
2025-02-15 19:51:11.536,0,69632,444,648,3.3,45.9
2025-02-15 19:51:13.541,0,0,504,648,3.2,45.9
2025-02-15 19:51:15.549,0,16384,444,648,44.4,45.8
2025-02-15 19:51:17.566,0,4096,687,648,54.7,45.8
2025-02-15 19:51:19.571,1179648,0,384,648,3.3,45.8
2025-02-15 19:51:21.576,0,20480,444,648,3.3,45.9
2025-02-15 19:51:23.581,0,278528,564,648,3.2,45.9
2025-02-15 19:51:25.586,0,40960,510,762,3.3,45.9
2025-02-15 19:51:27.592,0,0,747,648,50.5,45.8
2025-02-15 19:51:29.599,0,0,842,648,55.0,45.8
2025-02-15 19:51:31.604,0,20480,564,648,2.9,43.9
2025-02-15 19:51:33.609,212992,53248,3750,3898,2.5,43.7
2025-02-15 19:51:35.615,47329280,204800,1224,1444,3.3,39.1
2025-02-15 19:51:37.620,0,0,3892,3956,2.7,38.1
2025-02-15 19:51:39.625,0,606208,510,762,0.7,37.2
2025-02-15 19:51:41.629,0,81920,582,1038,0.7,36.3
2025-02-15 19:51:43.633,0,0,876,972,0.7,35.4
2025-02-15 19:51:45.637,0,20480,504,1038,0.7,34.5
2025-02-15 19:51:47.642,0,0,1293,1054,1.6,34.3
2025-02-15 19:51:49.648,0,24576,444,632,1.4,34.3
2025-02-15 19:51:51.654,0,106496,624,648,1.5,34.3
2025-02-15 19:51:53.659,0,192512,684,648,1.5,34.3
