timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-15 17:44:13.894,233472,0,0,0,3.6,1.5
2025-02-15 17:44:15.899,225472512,0,1914,1850,2.0,1.5
2025-02-15 17:44:17.905,70475776,0,1484,1248,1.8,1.5
2025-02-15 17:44:19.911,31096832,425984,1430,1490,1.5,1.5
2025-02-15 17:44:21.917,26521600,159744,3676,3568,1.5,1.5
2025-02-15 17:44:23.923,1183744,311296,4492,4960,1.5,1.5
2025-02-15 17:44:25.929,4096,286720,1484,1444,1.6,1.6
2025-02-15 17:44:27.934,26251264,106496,2900,3054,1.7,1.6
2025-02-15 17:44:29.940,26599424,364544,1556,3350,1.9,1.6
2025-02-15 17:44:31.946,2129920,8192,2058,10248,16.3,1.6
2025-02-15 17:44:33.951,364544,118784,1596,1362,2.2,1.6
2025-02-15 17:44:35.956,5853184,356352,2484828,79092,1.7,1.6
2025-02-15 17:44:37.961,46247936,12288,97482,106256,2.5,1.8
2025-02-15 17:44:39.966,27615232,790528,133828,138934,3.2,1.8
2025-02-15 17:44:41.971,0,0,1424,1248,3.3,1.8
2025-02-15 17:44:43.976,413696,90112,3952,10380,3.2,2.0
2025-02-15 17:44:45.981,0,217088,2528,4766,3.3,2.6
2025-02-15 17:44:47.986,0,0,1544,1248,3.2,3.2
2025-02-15 17:44:49.991,0,258048,1304,1248,10.6,2.4
2025-02-15 17:44:51.996,1093632,0,1688,2216,11.9,3.4
2025-02-15 17:44:54.001,0,69632,1244,1248,11.2,4.4
2025-02-15 17:44:56.006,0,311296,1424,1248,12.5,5.3
2025-02-15 17:44:58.011,0,0,1484,1248,12.5,6.2
2025-02-15 17:45:00.016,4096,278528,1304,1248,4.7,6.7
2025-02-15 17:45:02.021,0,114688,1782,2130,3.2,6.7
2025-02-15 17:45:04.026,2322432,217088,3122,7912,9.4,6.7
2025-02-15 17:45:06.031,0,335872,1424,1248,6.0,6.6
2025-02-15 17:45:08.036,2088960,63124357120,1424,1248,5.9,6.6
2025-02-15 17:45:10.041,565248,17216139264,1364,1248,3.5,6.6
2025-02-15 17:45:12.046,23653918720,63464955904,1880,2700,1.9,6.6
2025-02-15 17:45:14.051,52121483264,50833657856,1604,1248,2.0,6.6
2025-02-15 17:45:16.058,45339774976,47599976448,2640,3026,30.7,8.1
2025-02-15 17:45:18.063,0,90112,1604,1248,3.2,9.3
2025-02-15 17:45:20.074,0,81920,1364,1248,12.0,8.1
2025-02-15 17:45:22.080,753664,270336,13372,32884,7.1,8.2
2025-02-15 17:45:24.087,71995392,262144,26604,30402,3.1,8.2
2025-02-15 17:45:26.093,16875520,21207859200,2288,4924,3.5,8.2
2025-02-15 17:45:28.099,1613824,44433408000,1304,1248,3.3,8.1
2025-02-15 17:45:30.106,1753088,45590085632,1424,1248,13.9,8.2
2025-02-15 17:45:32.111,21294264320,39043477504,19626,21834,26.0,8.1
2025-02-15 17:45:34.120,32979042304,38332047360,1304,1248,19.5,7.9
2025-02-15 17:45:36.125,23699169280,47904079872,1304,1248,25.3,8.0
2025-02-15 17:45:38.141,31301222400,37228019712,1824,1494,23.7,8.0
2025-02-15 17:45:40.147,27009912832,46840164352,1857,1248,28.0,8.0
2025-02-15 17:45:42.154,27204136960,41707761664,1364,1248,24.9,8.0
2025-02-15 17:45:44.162,32979075072,39615451136,1364,1248,24.9,7.8
2025-02-15 17:45:46.167,23699095552,45770997760,1244,1248,25.2,7.9
2025-02-15 17:45:48.172,22074707968,36818649088,3262,6616,3.3,7.8
2025-02-15 17:45:50.177,0,11497316352,2414,5054,3.5,7.8
2025-02-15 17:45:52.182,0,62043443200,1304,1248,3.4,7.8
2025-02-15 17:45:54.188,13736591360,49045405696,2546,5202,7.6,7.7
2025-02-15 17:45:56.193,49244098560,35653689344,1304,1248,7.8,7.7
2025-02-15 17:45:58.198,57224192000,48106831872,1364,1248,11.9,7.7
2025-02-15 17:46:00.204,63874482176,46685298688,1424,1248,12.9,7.7
2025-02-15 17:46:02.210,65975525376,44857716736,1656,1248,12.0,7.6
2025-02-15 17:46:04.215,57505538048,46815948800,1364,1248,13.0,7.7
2025-02-15 17:46:06.223,59973021696,46009942016,1484,1248,11.2,7.7
2025-02-15 17:46:08.235,63863693312,46713888768,1424,1248,14.9,7.6
2025-02-15 17:46:10.241,53054926848,47030104064,1886,3390,3.3,7.7
2025-02-15 17:46:12.247,1052672,2766815232,3332,8152,3.6,7.7
2025-02-15 17:46:14.253,0,61027278848,1304,1248,3.0,7.7
2025-02-15 17:46:16.258,2146041856,57316933632,2886,5448,11.5,7.7
2025-02-15 17:46:18.265,58865467392,34751283200,1364,1248,10.5,7.6
2025-02-15 17:46:20.272,56367394816,44464316416,1424,1248,9.3,7.6
2025-02-15 17:46:22.277,63105452032,50237341696,1544,1248,12.5,7.6
2025-02-15 17:46:24.282,64352657408,45478674432,1424,1248,10.8,7.6
2025-02-15 17:46:26.290,57080436736,44789661696,1364,1248,10.5,7.6
2025-02-15 17:46:28.296,60551915520,42268979200,1364,1248,10.7,7.6
2025-02-15 17:46:30.302,63558250496,49010495488,1304,1248,12.6,7.6
2025-02-15 17:46:32.307,58424449024,49330380800,1656,1248,3.3,7.7
2025-02-15 17:46:34.312,823296,3014451200,4038,10828,3.5,7.7
2025-02-15 17:46:36.317,0,58912931840,1484,1248,3.0,7.7
2025-02-15 17:46:38.338,0,60041338880,2694,4635,9.5,7.7
2025-02-15 17:46:40.344,58510135296,37567131648,1568,2168,10.9,7.6
2025-02-15 17:46:42.350,56380477440,39028678656,1604,1248,10.9,7.6
2025-02-15 17:46:44.360,54925467648,43954089984,28688,4809,10.3,7.6
2025-02-15 17:46:46.367,62759301120,50617647104,1304,1248,11.0,7.6
2025-02-15 17:46:48.373,62844160000,42551832576,17311,12635,11.6,7.6
2025-02-15 17:46:50.379,59814217728,48444760064,3052,47751,11.9,7.6
2025-02-15 17:46:52.387,60997570560,46836416512,1762,1248,11.4,7.6
