timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-15 17:21:41.605,0,0,0,0,3.8,1.5
2025-02-15 17:21:43.610,224858112,0,180,0,2.0,1.5
2025-02-15 17:21:45.616,71651328,0,458,0,1.7,1.5
2025-02-15 17:21:47.622,47267840,417792,366,302,1.5,1.5
2025-02-15 17:21:49.627,10842112,303104,2200,2224,1.5,1.5
2025-02-15 17:21:51.632,1273856,180224,3248,3712,1.5,1.5
2025-02-15 17:21:53.637,4096,286720,180,196,1.7,1.5
2025-02-15 17:21:55.642,39862272,122880,1866,1956,5.6,1.5
2025-02-15 17:21:57.647,13115392,196608,444,2408,1.9,1.6
2025-02-15 17:21:59.652,2134016,131072,636,8628,16.3,1.6
2025-02-15 17:22:01.658,1175552,0,472,60,2.3,1.6
2025-02-15 17:22:03.664,5419008,548864,2489766,83946,1.5,1.7
2025-02-15 17:22:05.669,46387200,32768,120594,130408,2.6,1.8
2025-02-15 17:22:07.674,27820032,290816,104228,107470,3.3,1.8
2025-02-15 17:22:09.679,0,241664,180,60,3.3,1.8
2025-02-15 17:22:11.685,413696,0,2832,10824,3.3,2.1
2025-02-15 17:22:13.690,4096,450560,576,1484,3.3,2.7
2025-02-15 17:22:15.696,0,0,180,0,3.2,3.3
2025-02-15 17:22:17.701,0,204800,180,0,3.3,4.0
2025-02-15 17:22:19.706,0,77824,60,0,3.2,4.6
2025-02-15 17:22:21.712,0,0,120,0,3.3,5.2
2025-02-15 17:22:23.717,0,270336,758,0,3.3,5.8
2025-02-15 17:22:25.723,0,0,300,0,3.3,5.9
2025-02-15 17:22:27.729,0,192512,180,0,6.0,1.9
2025-02-15 17:22:29.735,565248,61440,576,1484,29.2,2.7
2025-02-15 17:22:31.742,0,0,292,0,29.9,3.6
2025-02-15 17:22:33.750,0,253952,120,0,29.7,4.5
2025-02-15 17:22:35.757,0,0,180,0,29.7,5.4
2025-02-15 17:22:37.764,0,0,240,0,28.1,6.3
2025-02-15 17:22:39.772,0,286720,180,0,28.4,7.1
2025-02-15 17:22:41.777,0,0,300,0,30.5,8.0
2025-02-15 17:22:43.783,0,258048,300,0,30.3,8.9
2025-02-15 17:22:45.788,0,0,180,0,31.1,9.8
2025-02-15 17:22:47.795,417792,0,438,742,18.7,10.8
2025-02-15 17:22:49.805,0,229376,378,742,20.5,11.8
2025-02-15 17:22:51.810,0,0,120,0,20.0,12.8
2025-02-15 17:22:53.815,0,274432,180,0,20.7,13.8
2025-02-15 17:22:55.820,0,0,300,0,19.3,14.6
2025-02-15 17:22:57.825,0,0,360,0,19.9,15.5
2025-02-15 17:22:59.836,0,241664,300,0,19.8,16.3
2025-02-15 17:23:01.845,0,0,412,0,21.2,17.2
2025-02-15 17:23:03.853,0,258048,666,0,20.8,18.1
2025-02-15 17:23:05.859,0,0,240,0,22.3,19.0
2025-02-15 17:23:07.865,0,0,300,0,21.3,19.7
2025-02-15 17:23:09.870,4096,262144,60,0,19.2,20.5
2025-02-15 17:23:11.876,0,0,240,0,19.2,21.3
2025-02-15 17:23:13.881,0,245760,60,0,19.6,22.1
2025-02-15 17:23:15.886,0,0,240,0,19.3,22.9
2025-02-15 17:23:17.891,0,0,180,0,20.3,23.7
2025-02-15 17:23:19.903,0,237568,60,0,53.6,25.3
2025-02-15 17:23:21.912,0,0,570,1210,3.2,27.9
2025-02-15 17:23:23.917,0,81920,120,0,3.2,29.1
2025-02-15 17:23:25.923,0,196608,240,60,3.2,30.2
2025-02-15 17:23:27.928,0,0,1034,256,3.2,31.3
2025-02-15 17:23:29.933,0,245760,240,0,3.2,32.4
2025-02-15 17:23:31.939,0,0,412,0,3.2,33.4
2025-02-15 17:23:33.944,0,114688,240,60,0.7,33.5
2025-02-15 17:23:35.949,8192,184320,300,0,51.3,32.1
2025-02-15 17:23:37.955,0,0,180,0,3.3,29.5
2025-02-15 17:23:39.960,0,258048,2292,20800,3.2,29.5
2025-02-15 17:23:41.965,929792,0,17388,19228,5.0,29.4
2025-02-15 17:23:43.970,8822784,311296,17496,18948,3.1,29.5
2025-02-15 17:23:45.976,62541824,196608,702,2226,3.2,29.5
2025-02-15 17:23:47.981,0,0,300,0,3.3,29.4
2025-02-15 17:23:49.986,15998976,417792,1236,3936,3.2,29.4
2025-02-15 17:23:51.991,16384,0,180,0,3.3,29.4
2025-02-15 17:23:53.997,0,503808,240,0,3.3,29.3
2025-02-15 17:23:56.003,0,0,240,0,3.3,29.3
2025-02-15 17:23:58.008,0,0,60,0,3.3,29.3
2025-02-15 17:24:00.014,0,253952,360,0,3.3,29.3
2025-02-15 17:24:02.019,0,0,352,0,3.3,29.2
2025-02-15 17:24:04.025,0,274432,180,0,3.2,29.2
2025-02-15 17:24:06.030,0,0,180,0,3.3,29.2
2025-02-15 17:24:08.035,0,0,180,0,3.3,29.2
2025-02-15 17:24:10.040,0,258048,240,0,3.3,29.2
2025-02-15 17:24:12.046,0,0,300,0,3.3,29.1
