timestamp,disk_read_bytes,disk_write_bytes,net_read_bytes,net_write_bytes,cpu_utilization,mem_utilization
2025-02-15 21:33:32.465,159744,0,0,0,0.2,34.2
2025-02-15 21:33:33.472,151592960,0,0,0,4.1,34.2
2025-02-15 21:33:34.481,63537152,0,60,0,0.3,34.2
2025-02-15 21:33:35.489,20877312,0,0,0,0.3,34.2
2025-02-15 21:33:36.496,63504384,0,373,0,0.3,34.2
2025-02-15 21:33:37.503,20299776,151552,126,242,0.2,34.2
2025-02-15 21:33:38.511,34930688,4096,180,0,0.0,34.2
2025-02-15 21:33:39.520,3117056,172032,2132,2320,0.0,34.2
2025-02-15 21:33:40.528,0,0,240,0,0.0,34.2
2025-02-15 21:33:41.536,135168,0,292,0,0.0,34.2
2025-02-15 21:33:42.544,1478656,372736,3248,3712,0.0,34.2
2025-02-15 21:33:43.553,0,0,0,98,0.0,34.2
2025-02-15 21:33:44.560,36864,0,180,98,0.3,34.2
2025-02-15 21:33:45.567,14802944,122880,1536,1806,0.2,34.2
2025-02-15 21:33:46.574,37728256,0,60,0,4.2,34.2
2025-02-15 21:33:47.582,446464,0,132,1972,0.4,34.2
2025-02-15 21:33:48.589,28672,135168,186,242,1.8,34.3
2025-02-15 21:33:49.596,2281472,0,946,8612,13.1,34.3
2025-02-15 21:33:50.605,262144,0,240,0,1.7,34.3
2025-02-15 21:33:51.613,942080,16384,324,968,1.4,34.3
2025-02-15 21:33:52.621,5562368,49152,2488844,85776,0.8,34.3
2025-02-15 21:33:53.629,21790720,405504,18335,26079,1.3,34.4
2025-02-15 21:33:54.637,39157760,20480,101123,104999,1.7,34.4
2025-02-15 21:33:55.645,13447168,0,102970,103244,1.8,34.4
2025-02-15 21:33:56.652,483328,0,510,1194,1.9,34.4
2025-02-15 21:33:57.660,0,0,60,0,1.9,34.4
2025-02-15 21:33:58.667,4096,327680,120,0,1.8,34.4
2025-02-15 21:33:59.674,413696,0,1980,6972,1.8,34.4
2025-02-15 21:34:00.680,0,0,1512,6270,1.8,34.4
2025-02-15 21:34:01.686,0,0,120,0,1.8,34.5
2025-02-15 21:34:02.693,106496,0,300,0,1.8,34.8
2025-02-15 21:34:03.700,0,102400,60,0,1.8,35.0
2025-02-15 21:34:04.707,0,0,120,0,1.8,35.2
2025-02-15 21:34:05.714,0,0,0,0,1.8,35.5
2025-02-15 21:34:06.721,0,0,120,0,1.8,35.7
2025-02-15 21:34:07.727,0,0,120,0,1.8,36.0
2025-02-15 21:34:08.734,0,32768,60,0,1.8,36.2
2025-02-15 21:34:09.740,0,12288,60,0,1.8,36.4
2025-02-15 21:34:10.747,0,0,352,0,1.8,36.7
2025-02-15 21:34:11.753,0,0,0,0,1.8,36.9
2025-02-15 21:34:12.760,0,0,180,0,1.8,37.1
2025-02-15 21:34:13.766,0,0,0,0,1.8,37.4
2025-02-15 21:34:14.772,0,4096,120,0,1.8,37.6
2025-02-15 21:34:15.779,0,0,120,0,1.8,37.9
2025-02-15 21:34:16.785,0,0,120,0,1.8,38.1
2025-02-15 21:34:17.793,0,0,120,0,1.8,38.3
2025-02-15 21:34:18.800,0,0,180,0,1.8,38.6
2025-02-15 21:34:19.809,0,0,60,0,1.8,38.6
2025-02-15 21:34:20.816,0,0,120,0,1.8,38.6
2025-02-15 21:34:21.822,0,0,120,0,1.8,38.6
2025-02-15 21:34:22.830,0,0,120,0,1.8,38.3
2025-02-15 21:34:23.838,0,0,60,0,2.9,35.3
2025-02-15 21:34:24.846,565248,0,120,0,15.2,34.7
2025-02-15 21:34:25.853,0,0,258,1094,19.3,35.0
2025-02-15 21:34:26.861,0,0,300,0,18.8,35.3
2025-02-15 21:34:27.868,0,0,0,0,18.9,35.7
2025-02-15 21:34:28.878,0,0,120,0,20.1,36.0
2025-02-15 21:34:29.888,0,0,180,0,19.8,36.3
2025-02-15 21:34:30.895,0,4096,698,742,18.7,36.6
2025-02-15 21:34:31.903,0,12288,316,226,19.7,36.9
2025-02-15 21:34:32.912,0,0,844,776,20.0,37.3
2025-02-15 21:34:33.920,757760,0,524,1016,20.2,37.6
2025-02-15 21:34:34.929,0,0,312,324,21.4,38.0
2025-02-15 21:34:35.938,0,0,258,454,20.8,38.3
2025-02-15 21:34:36.945,0,4096,192,324,20.5,38.6
2025-02-15 21:34:37.954,0,0,132,340,20.2,38.9
2025-02-15 21:34:38.961,0,0,312,324,19.7,39.2
2025-02-15 21:34:39.969,0,0,192,340,21.2,39.6
2025-02-15 21:34:40.975,0,0,364,324,22.9,39.9
2025-02-15 21:34:41.982,0,0,252,340,22.6,40.2
2025-02-15 21:34:42.992,0,0,312,324,23.5,40.6
2025-02-15 21:34:44.001,0,0,192,340,21.6,40.9
2025-02-15 21:34:45.009,0,0,312,324,22.8,41.2
2025-02-15 21:34:46.017,0,0,132,340,24.6,41.6
2025-02-15 21:34:47.023,0,0,252,324,23.6,41.9
2025-02-15 21:34:48.029,0,0,132,324,21.7,42.2
2025-02-15 21:34:49.036,0,0,252,324,21.4,42.5
2025-02-15 21:34:50.044,0,0,252,324,19.4,42.9
2025-02-15 21:34:51.052,0,0,252,324,19.2,43.4
2025-02-15 21:34:52.060,417792,0,252,340,14.7,43.7
2025-02-15 21:34:53.068,0,0,252,340,16.4,44.0
2025-02-15 21:34:54.082,0,0,132,324,18.6,44.2
2025-02-15 21:34:55.093,0,0,252,340,17.1,44.5
2025-02-15 21:34:56.100,0,0,252,324,15.4,44.8
